Label.Bakker,SAMN,Label.SRA,year,collect,plot,CO2,plant,tissue,biol
FACE121,SAMN11840403,SRR9124736,Y17,2017-07-24,Y17_Plot6,Ambient,Y17_Plot6_01,spike,FACE
FACE120,SAMN11840402,SRR9124737,Y17,2017-08-07,Y17_Plot5,Elevated,Y17_Plot5_12,leaf,FACE
FACE063,SAMN11840346,SRR9124738,Y17,2017-07-31,Y17_Plot3,Ambient,Y17_Plot3_08,spike,FACE
FACE221,SAMN11840483,SRR9124739,Y18,2018-07-24,Y18_Plot4,Ambient,Y18_Plot4_05,spike,FACE
FACE192,SAMN11840482,SRR9124740,Y18,2018-07-17,Y18_Plot4,Ambient,Y18_Plot4_04,leaf,FACE
FACE064,SAMN11840347,SRR9124741,Y17,2017-07-31,Y17_Plot3,Ambient,Y17_Plot3_08,leaf,FACE
FACE159,SAMN11840477,SRR9124742,Y18,2018-07-10,Y18_Plot4,Ambient,Y18_Plot4_02,leaf,FACE
FACE158,SAMN11840476,SRR9124743,Y18,2018-07-10,Y18_Plot4,Ambient,Y18_Plot4_01,spike,FACE
FACE157,SAMN11840475,SRR9124744,Y18,2018-07-10,Y18_Plot4,Ambient,Y18_Plot4_01,spike,FACE
FACE252,SAMN11840474,SRR9124745,Y18,2018-07-31,Y18_Plot3,Elevated,Y18_Plot3_08,leaf,FACE
FACE191,SAMN11840481,SRR9124746,Y18,2018-07-17,Y18_Plot4,Ambient,Y18_Plot4_04,leaf,FACE
FACE190,SAMN11840480,SRR9124747,Y18,2018-07-17,Y18_Plot4,Ambient,Y18_Plot4_03,spike,FACE
FACE189,SAMN11840479,SRR9124748,Y18,2018-07-17,Y18_Plot4,Ambient,Y18_Plot4_03,spike,FACE
FACE160,SAMN11840478,SRR9124749,Y18,2018-07-10,Y18_Plot4,Ambient,Y18_Plot4_02,leaf,FACE
FACE029,SAMN11840315,SRR9124750,Y17,2017-07-24,Y17_Plot2,Elevated,Y17_Plot2_03,spike,FACE
FACE027,SAMN11840314,SRR9124751,Y17,2017-07-24,Y17_Plot2,Elevated,Y17_Plot2_02,spike,FACE
FACE032,SAMN11840317,SRR9124752,Y17,2017-07-24,Y17_Plot2,Elevated,Y17_Plot2_04,leaf,FACE
FACE031,SAMN11840316,SRR9124753,Y17,2017-07-24,Y17_Plot2,Elevated,Y17_Plot2_04,spike,FACE
FACE034,SAMN11840319,SRR9124754,Y17,2017-07-31,Y17_Plot2,Elevated,Y17_Plot2_05,leaf,FACE
FACE033,SAMN11840318,SRR9124755,Y17,2017-07-31,Y17_Plot2,Elevated,Y17_Plot2_05,spike,FACE
FACE036,SAMN11840321,SRR9124756,Y17,2017-07-31,Y17_Plot2,Elevated,Y17_Plot2_06,leaf,FACE
FACE035,SAMN11840320,SRR9124757,Y17,2017-07-31,Y17_Plot2,Elevated,Y17_Plot2_06,spike,FACE
nDNA18A,SAMN11840562,SRR9124758,Y18,Y18_NegDNA,A,NA,NA,NA,nDNA
FACE037,SAMN11840322,SRR9124759,Y17,2017-07-31,Y17_Plot2,Elevated,Y17_Plot2_07,spike,FACE
FACE164,SAMN11840494,SRR9124760,Y18,2018-07-10,Y18_Plot5,Elevated,Y18_Plot5_02,leaf,FACE
nDNA18B,SAMN11840563,SRR9124761,Y18,Y18_NegDNA,B,NA,NA,NA,nDNA
FACE171,SAMN11840525,SRR9124762,Y18,2018-07-10,Y18_Plot7,Elevated,Y18_Plot7_02,leaf,FACE
FACE170,SAMN11840524,SRR9124763,Y18,2018-07-10,Y18_Plot7,Elevated,Y18_Plot7_01,spike,FACE
FACE201,SAMN11840527,SRR9124764,Y18,2018-07-17,Y18_Plot7,Elevated,Y18_Plot7_03,spike,FACE
FACE172,SAMN11840526,SRR9124765,Y18,2018-07-10,Y18_Plot7,Elevated,Y18_Plot7_02,leaf,FACE
FACE203,SAMN11840529,SRR9124766,Y18,2018-07-17,Y18_Plot7,Elevated,Y18_Plot7_04,leaf,FACE
FACE202,SAMN11840528,SRR9124767,Y18,2018-07-17,Y18_Plot7,Elevated,Y18_Plot7_03,spike,FACE
FACE178,SAMN11840432,SRR9124768,Y18,2018-07-17,Y18_Plot1,Elevated,Y18_Plot1_03,spike,FACE
